year,month,open ,high,low,close,volume
2011,11,402.42,409.33,393.22,400.24,71009200
2011,10,396.18,409,393.151,404.95,78799200
2011,10,421.74,426.7,390.75,392.87,137222200
2011,10,379.09,422,378.21,422,95358600
2011,10,380.37,384.78,354.24,369.8,144188800
2011,9,399.86,409.25,381.18,381.32,109776400
2011,9,397,422.86,395.2045,404.3,132869600
2011,9,375.89,400.503,371.9,400.5,91408900
2011,9,367.37,388.61,366.48,377.48,65758800
2011,9,388.18,392.08,371.83,374.05,76015800
2011,8,364.51,383.8,355.09,383.58,118972900
2011,8,379.63,384.97,356,356.03,108167100
2011,8,361.69,379.64,353.02,376.99,156286400
2011,8,397.78,399.5,362.57,373.62,145031500
2011,7,390.35,404.5,384,390.48,105440400
2011,7,365.43,396.27,365.28,393.3,120585800
2011,7,356.34,365,348.62,364.92,78604400
2011,7,343,360,342.5,359.71,60320600
2011,7,327.59,343.5,327.25,343.26,62318800
2011,6,317.355,333.15,310.5,326.35,90149200
2011,6,327.2,333.25,318.33,320.26,78173200
2011,6,344.84,347.05,325.51,325.9,72660500
2011,6,341.1,352.132,341,343.44,58016800
2011,5,329.97,338.56,329.42,337.41,50925400
2011,5,339.2,342.414,330.73,335.22,65572300
2011,5,347.86,350,340.35,340.5,52534100
2011,5,349.74,351.83,345.5,346.66,62907700
2011,4,350.34,354.99,345.52,350.13,83173700
2011,4,326.1,355.13,320.16,350.696,88705500
2011,4,334.06,336.14,326.8,327.46,68793300
2011,4,344.31,344.6,333.95,335.06,74869200
2011,4,353.15,354.32,343.3,344.56,60155100
2011,3,335.99,352.06,335.26,351.54,70069400
2011,3,353.18,356.4844,326.26,330.67,133274500
2011,3,361.4,361.67,344.9,351.99,83370200
2011,3,351.24,360.29,347.681,360,86280600
2011,2,342.15,348.43,337.72,348.16,86583200
2011,2,356.79,364.9,349.52,350.56,86513900
2011,2,347.89,360,347.64,356.85,94461800
2011,2,335.8,346.7,334.3,346.5,63516900
2011,1,326.87,345.6,326.72,336.1,89482500
2011,1,329.52,348.6,326,326.72,161992900
2011,1,338.83,348.48,337.17,348.48,64317100
2011,1,325.64,336.35,324.8365,336.12,57932100
2010,12,322.8519,326.66,321.31,322.56,33567200
2010,12,321.6,325.72,318.23,323.6,40394400
2010,12,324.37,325.06,319,320.61,68467700
2010,12,318.64,323.99,317.11,320.56,61376200
2010,12,315.5,319,310.87,317.44,79083000
2010,11,306.68,317.6999,305.87,315,55851200
2010,11,308.46,310.54,297.76,306.73,86430000
2010,11,317.2,321.3,303.63,308.03,78809300
2010,11,302.22,320.18,302.2,317.13,84639600
2010,10,309.09,311.6,300.87,300.98,77355600
2010,10,318.47,319,300.02,307.47,141844900
2010,10,294.74,315,292.49,314.74,106210000
2010,10,281.6,294.5,277.77,294.07,95533600
2010,10,293.975,294.73,275,282.52,111037700
2010,9,276.08,293.53,275.85,292.32,119558800
2010,9,265.82,277.96,265.52,275.37,89745700
2010,9,256.64,266.52,256.25,263.41,60543800
